Timestamp,Game_Number,Turn_Number,FEN,Error_Message
2026-02-21 16:57:30,21,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N4P/PPPPPPP1/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N4P/PPPPPPP1/R1BQKBNR b KQkq - 1 2
2026-02-21 16:57:41,22,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/N7/PPPPP1PP/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/N7/PPPPP1PP/R1BQKBNR b KQkq - 0 2
2026-02-21 16:57:52,23,2,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2
2026-02-21 16:58:03,24,2,rnbqkbnr/ppp1pppp/8/3p4/8/N2P4/PPP1PPPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N2P4/PPP1PPPP/R1BQKBNR b KQkq - 1 2
2026-02-21 16:58:15,25,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/7P/PPPP1PP1/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/7P/PPPP1PP1/RNBQKBNR b KQkq - 0 2
2026-02-21 16:58:25,26,2,rnbqkbnr/ppp1pppp/8/3p4/8/N3P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N3P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2
2026-02-21 16:58:36,27,2,rnbqkbnr/ppp1pppp/8/1N1p4/8/8/PPPPPPPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/1N1p4/8/8/PPPPPPPP/R1BQKBNR b KQkq - 1 2
2026-02-21 16:58:47,28,2,rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2
2026-02-21 16:58:59,29,2,rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPPBPPPP/RN1QKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/3P4/PPPBPPPP/RN1QKBNR b KQkq - 1 2
2026-02-21 16:59:10,30,2,rnbqkbnr/ppp1pppp/8/3p4/6P1/7N/PPPPPP1P/RNBQKB1R b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/6P1/7N/PPPPPP1P/RNBQKB1R b KQkq - 0 2
2026-02-21 16:59:21,31,2,rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq - 1 2
2026-02-21 16:59:32,32,2,rnbqkbnr/ppp1pppp/8/3p4/1P6/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P6/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 16:59:43,33,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2
2026-02-21 16:59:54,34,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:00:05,35,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2
2026-02-21 17:00:16,36,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/P7/1PPPP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/P7/1PPPP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:00:28,37,2,rnbqkbnr/ppp1pppp/8/3p4/8/3P3N/PPP1PPPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/3P3N/PPP1PPPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:00:39,38,2,rnbqkbnr/ppp1pppp/8/3p4/8/N3P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N3P3/PPPP1PPP/R1BQKBNR b KQkq - 1 2
2026-02-21 17:00:50,39,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2
2026-02-21 17:01:00,40,2,rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N6P/PPPPPPP1/R1BQKBNR b KQkq - 0 2
2026-02-21 17:01:12,41,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2
2026-02-21 17:01:23,42,2,rnbqkbnr/ppp1pppp/8/3p4/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:01:34,43,2,rnbqkbnr/ppp1pppp/8/3p4/8/P3P3/1PPP1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/P3P3/1PPP1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:01:44,44,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2
2026-02-21 17:01:55,45,2,rnbqkbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBQKBNR b KQkq - 1 2
2026-02-21 17:02:06,46,2,rnbqkbnr/ppp1pppp/8/3p4/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:02:17,47,2,rnbqkbnr/ppp1pppp/8/3p4/8/6PP/PPPPPP2/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/6PP/PPPPPP2/RNBQKBNR b KQkq - 0 2
2026-02-21 17:02:28,48,2,rnbqkbnr/ppp1pppp/8/3p2B1/8/3P4/PPP1PPPP/RN1QKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p2B1/8/3P4/PPP1PPPP/RN1QKBNR b KQkq - 1 2
2026-02-21 17:02:39,49,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:02:50,50,2,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2
2026-02-21 17:03:01,51,2,rnbqkbnr/ppp1pppp/8/3p4/P1P5/8/1P1PPPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/P1P5/8/1P1PPPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:03:12,52,2,rnbqkbnr/ppp1pppp/8/3p4/7P/5N2/PPPPPPP1/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/5N2/PPPPPPP1/RNBQKB1R b KQkq - 1 2
2026-02-21 17:03:24,53,2,rnbqkbnr/ppp1pppp/8/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:03:35,54,2,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPPR/RNBQKBN1 b Qkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPPR/RNBQKBN1 b Qkq - 1 2
2026-02-21 17:03:46,55,2,rnbqkbnr/ppp1pppp/8/3p4/4N3/8/PPPPPPPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4N3/8/PPPPPPPP/R1BQKBNR b KQkq - 1 2
2026-02-21 17:03:58,56,2,rnbqkbnr/ppp1pppp/8/3p4/7P/P7/1PPPPPP1/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/P7/1PPPPPP1/RNBQKBNR b KQkq - 0 2
2026-02-21 17:04:09,57,2,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:04:20,58,2,rnbqkbnr/ppp1pppp/8/3p4/1P6/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P6/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:04:31,59,2,rnbqkbnr/ppp1pppp/8/3p4/1P6/7N/P1PPPPPP/RNBQKB1R b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P6/7N/P1PPPPPP/RNBQKB1R b KQkq - 0 2
2026-02-21 17:04:42,60,2,rnbqkbnr/ppp1pppp/8/3p4/8/P4N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/P4N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:04:53,61,2,rnbqkbnr/ppp1pppp/8/3p4/4P1Q1/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P1Q1/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2
2026-02-21 17:05:04,62,2,rnbqkbnr/ppp1pppp/8/3p4/7P/N7/PPPPPPP1/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/N7/PPPPPPP1/R1BQKBNR b KQkq - 0 2
2026-02-21 17:05:15,63,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PPQPPPPP/RNB1KBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PPQPPPPP/RNB1KBNR b KQkq - 1 2
2026-02-21 17:05:26,64,2,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/1P6/PBPPPPPP/RN1QKBNR b KQkq - 1 2
2026-02-21 17:05:37,65,2,rnbqkbnr/ppp1pppp/8/3p4/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 17:05:48,66,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N4P/PPPPPPP1/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N4P/PPPPPPP1/R1BQKBNR b KQkq - 0 2
2026-02-21 17:06:03,67,2,rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:06:18,68,2,rnbqkbnr/ppp1pppp/8/3p4/1P6/N7/P1PPPPPP/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P6/N7/P1PPPPPP/R1BQKBNR b KQkq - 0 2
2026-02-21 17:06:29,69,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N2P2/PPPPP1PP/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N2P2/PPPPP1PP/R1BQKBNR b KQkq - 0 2
2026-02-21 17:06:40,70,2,rnbqkbnr/ppp1pppp/8/3p4/P1P5/8/1P1PPPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/P1P5/8/1P1PPPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:06:51,71,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:07:02,72,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:07:13,73,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:07:23,74,2,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:07:34,75,2,rnbqkbnr/ppp1pppp/8/3P4/8/8/PP1PPPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3P4/8/8/PP1PPPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:07:45,76,2,rnbqkbnr/ppp1pppp/8/3p4/1P6/7N/P1PPPPPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/1P6/7N/P1PPPPPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:07:56,77,2,rnbqkbnr/ppp1pppp/8/3p4/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/1P4P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2
2026-02-21 17:08:07,78,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:08:19,79,2,rnbqkbnr/ppp1pppp/8/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:08:30,80,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:08:41,81,2,rnbqkbnr/ppp1pppp/8/3p4/8/7N/PPPPPPPP/RNBQKBR1 b Qkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/7N/PPPPPPPP/RNBQKBR1 b Qkq - 1 2
2026-02-21 17:08:52,82,2,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 2
2026-02-21 17:09:03,83,2,rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPPBPPP/RNBQK1NR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPPBPPP/RNBQK1NR b KQkq - 1 2
2026-02-21 17:09:13,84,2,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:09:24,85,2,rnbqkbnr/ppp1pppp/8/3p4/8/PP6/2PPPPPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/PP6/2PPPPPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:09:35,86,2,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2
2026-02-21 17:09:46,87,2,rnbqkbnr/ppp1pppp/8/3p4/8/N2P4/PPP1PPPP/R1BQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/N2P4/PPP1PPPP/R1BQKBNR b KQkq - 0 2
2026-02-21 17:09:57,88,2,rnbqkbnr/ppp1pppp/8/3p4/8/1PN5/P1PPPPPP/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/1PN5/P1PPPPPP/R1BQKBNR b KQkq - 1 2
2026-02-21 17:10:08,89,2,rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:10:19,90,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2
2026-02-21 17:10:30,91,2,rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2
2026-02-21 17:10:41,92,2,rnbqkbnr/ppp1pppp/B7/3p4/8/4P3/PPPP1PPP/RNBQK1NR b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/B7/3p4/8/4P3/PPPP1PPP/RNBQK1NR b KQkq - 1 2
2026-02-21 17:10:52,93,2,rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2,illegal uci: 'e2e4' in rnbqkbnr/ppp1pppp/8/3p4/8/2N4N/PPPPPPPP/R1BQKB1R b KQkq - 1 2
